school_name,School ID,Type,Programmes,Suburb,Actively Working In,latitude,longitude,Google Maps,Total Children,Total Youth,Total Sessions
J N Tulwana,194,Primary,Zazi Izandi,KwaNobuhle,checked,-33.80855,25.38245673,"https://www.google.com/maps?q=-33.80855030140856,25.38245673363234",37,0,0
James Jolobe,24,High School,Top Learners High School,Motherwell,checked,-33.813516,25.58926007,"https://www.google.com/maps?q=-33.81351586202761,25.58926006850705",13,0,0
James Ndulula,163,Primary,Zazi Izandi,KwaLanga,checked,-33.735137,25.39051803,"https://www.google.com/maps?q=-33.735136584059475,25.390518033652995",53,0,0
James Ntungwana,116,Primary,Zazi Izandi,KwaNobuhle,checked,-33.803117,25.38084416,"https://www.google.com/maps?q=-33.80311709425297,25.380844164811776",58,0,0
Jarvis Gqamlana,49,Primary,"Zazi Izandi,1000 Stories",New Brighton,checked,-33.903182,25.60289521,"https://www.google.com/maps?q=-33.903181597594866,25.60289520836473",55,1,83
Jeffrey's Bay,15,High School,Top Learners High School,Jeffery's Bay,checked,-34.050288,24.91195819,"https://www.google.com/maps?q=-34.05028841319953,24.91195819299756",13,0,0
Joe Slovo,131,Primary,Zazi Izandi,KwaDwesi,checked,-33.829716,25.50267762,"https://www.google.com/maps?q=-33.82971585116566,25.502677622483915",195,0,0
Jongilanga,290,ECD,Literacy,New Brighton,checked,-33.892279,25.60689462,"https://www.google.com/maps?q=-33.892279,25.60689462",11,1,901
Jongingomso ECD,267,ECD,1000 Stories,Motherwell,checked,-33.805937,25.60518046,"https://www.google.com/maps?q=-33.80593666819742,25.60518045818854",0,0,53
Jubilee Park,171,Primary,Zazi Izandi,Gerald Smith,checked,-33.754513,25.38044213,"https://www.google.com/maps?q=-33.75451300818391,25.38044212569802",59,0,4
Kamvalethu Daycare,214,ECD,Numeracy,Kwa-Dwesi,checked,-33.82653,25.50873476,"https://www.google.com/maps?q=-33.826529702079064,25.50873476416316",39,0,223
Kayser Ngxwana,65,Primary,Zazi Izandi,Kwazakhele,checked,-33.876243,25.59342664,"https://www.google.com/maps?q=-33.87624287519675,25.593426637827807",37,0,0
Khanyisa HS,47,High School,Top Learners High School,Kwa-Dwesi,,,,,1,0,0
Khazimla Pre-School,208,ECD,"Numeracy,1000 Stories",Motherwell,checked,-33.784356,25.56355004,"https://www.google.com/maps?q=-33.78435559694722,25.56355004395153",23,0,245
Khulile,86,Primary,Zazi Izandi,Motherwell,checked,-33.810946,25.58231362,"https://www.google.com/maps?q=-33.81094561433684,25.58231362248281",64,0,0
Khumbulani,5,High School,Top Learners High School,Richmond Hill,checked,-33.95743,25.6147742,"https://www.google.com/maps?q=-33.95743048071028,25.614774197350563",19,0,0
Khwezi Lomso,4,High School,Top Learners High School,Zwide,checked,-33.868159,25.5537501,"https://www.google.com/maps?q=-33.86815882968297,25.55375010308872",35,0,0
Kideo Learning Centre,222,ECD,Numeracy,Motherwell,checked,-33.823376,25.58350758,"https://www.google.com/maps?q=-33.82337578572086,25.58350757931889",19,0,120
Kids College,56,ECD,Zazi Izandi,Motherwell,,-33.776859,25.57055492,"https://www.google.com/maps?q=-33.77685901212574,25.57055492043574",4,0,43
Kings and Quuens,237,ECD,1000 Stories,New Brighton,checked,-33.865724,25.57466131,"https://www.google.com/maps?q=-33.865723583230995,25.574661305043687",0,0,61
KK Ncwana,89,Primary,Zazi Izandi,Kwazakhele,checked,-33.88001,25.57602828,"https://www.google.com/maps?q=-33.88000954461438,25.57602828015732",86,0,0
Kleinskool,137,Primary,Zazi Izandi,Saltville,checked,-33.857259,25.51656528,"https://www.google.com/maps?q=-33.85725925435003,25.516565278308704",55,0,0
Koester,106,ECD,Zazi Izandi,Motherwell,,-33.815336,25.58711732,"https://www.google.com/maps?q=-33.81533579830646,25.587117317512114",11,2,124
Kokkewiet,292,ECD,Literacy,Oysterbay,checked,,,,4,0,104
Kroneberg,77,Primary,"Zazi Izandi,YearBeyond",Bethelsdorp,checked,-33.865135,25.49408062,"https://www.google.com/maps?q=-33.865134973246356,25.49408062433332",206,0,0
Kruisrivier,186,Primary,Zazi Izandi,Kruisriver,checked,-33.765362,25.34922857,"https://www.google.com/maps?q=-33.76536241967626,25.34922856618221",64,0,0
